Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME,CHANGEDONDATE
30a6452c-4297-a1ac-977a-6a23237c7b46,1994-02-06,null,999-52-8591,S99996852,X47758697X,Mr.,Joshua658,Alvin56,Kunde533,null,null,M,white,nonhispanic,M,Boston  Massachusetts  US,811 Kihn Viaduct,Braintree,Massachusetts,Norfolk County,25021,2184,42.21114202874998,-71.0458021760648,56904.96,18019.99,100511,2023-12-31T15:33:00.000Z
34a4dcc4-35fb-6ad5-ab98-be285c586a4f,1968-08-06,2009-12-11,999-75-3953,S99993577,X28173268X,Mr.,Bennie663,null,Ebert178,null,null,D,white,nonhispanic,M,Chicopee  Massachusetts  US,975 Pfannerstill Throughway,Braintree,Massachusetts,Norfolk County,25021,2184,42.25542018011528,-70.97101636805553,124024.12,1075.06,49737,2023-12-31T15:33:00.000Z
7179458e-d6e3-c723-2530-d4acfe1c2668,2008-12-21,null,999-70-1925,null,null,null,Hunter736,Mckinley734,Gerlach374,null,null,null,white,nonhispanic,M,Spencer  Massachusetts  US,548 Heller Lane,Mattapoisett,Massachusetts,Plymouth County,null,0,41.64829218941842,-70.8506191004423,45645.06,6154.94,133816,2023-12-31T15:33:00.000Z
37c177ea-4398-fb7a-29fa-70eb3d673876,1994-01-27,null,999-27-9779,S99995100,X83694889X,Mrs.,Carlyn477,Florencia449,Williamson769,null,Rogahn59,M,asian,nonhispanic,F,Franklin  Massachusetts  US,160 Fadel Crossroad Apt 65,Wareham,Massachusetts,Plymouth County,null,0,41.7890962055039,-70.71161606226767,12895.15,659951.61,17382,2023-12-31T15:33:00.000Z
0fef2411-21f0-a269-82fb-c42b55471405,2019-07-27,null,999-50-8977,null,null,null,Robin66,Jeramy610,Gleichner915,null,null,null,white,nonhispanic,M,Brockton  Massachusetts  US,766 Grant Loaf Unit 15,Groveland,Massachusetts,Essex County,null,0,42.73418302409162,-70.97640964142548,18500.02,5493.57,52159,2023-12-31T15:33:00.000Z
ec1a6cad-8825-7b5c-4e14-257c696d5f11,2019-04-18,null,999-13-4533,null,null,null,Arthur650,null,Roberts511,null,null,null,white,nonhispanic,M,Plymouth  Massachusetts  US,866 Kulas Harbor,Cambridge,Massachusetts,Middlesex County,25017,2138,42.377780869730564,-71.04411184775073,14478.23,693.39,75767,2023-12-31T15:33:00.000Z
4569671e-ed39-055f-8e78-422b96c9896b,2013-08-10,null,999-40-7708,null,null,null,Caryl47,Lelia627,Kassulke119,null,null,null,white,nonhispanic,F,East Falmouth  Massachusetts  US,578 Dickens Camp,Arlington,Massachusetts,Middlesex County,25017,2476,42.412276413669126,-71.2028590194357,9821.14,27142.51,58294,2023-12-31T15:33:00.000Z
c1acd7ba-dacf-36d2-6010-db8934400000,1968-08-06,null,999-97-4087,S99911538,X37637991X,Mr.,Willian804,Shelton25,Keeling57,null,null,M,white,nonhispanic,M,Methuen  Massachusetts  US,848 Ebert Knoll Unit 7,Braintree,Massachusetts,Norfolk County,25021,2184,42.21400861949399,-71.00489563008034,175817.63,55473.97,49737,2023-12-31T15:33:00.000Z
3648fb36-1cd1-3641-0b1c-1f00d1e7e7de,2006-07-02,null,999-78-1635,S99943171,null,Ms.,Domenica436,null,Rau926,null,null,null,white,hispanic,F,Maynard  Massachusetts  US,963 Senger Fort,Haverhill,Massachusetts,Essex County,25009,1835,42.81604282499672,-71.05150262767259,52933.16,11941.44,77756,2023-12-31T15:33:00.000Z
50ca7edb-0dee-35e6-5d8f-66fbcb0b37c1,1948-05-28,null,999-27-5104,S99941458,X59458953X,Mr.,Arnulfo253,Jordan900,Jaskolski867,null,null,D,white,nonhispanic,M,Boston  Massachusetts  US,757 Lockman Annex Apt 10,Georgetown,Massachusetts,Essex County,null,0,42.695601709077486,-70.97251048814276,242013.44,322768.97,35255,2023-12-31T15:33:00.000Z
778f10bc-09e5-8e86-64e8-bffa36d47246,1980-04-27,null,999-92-8141,S99947055,X55687474X,Mrs.,Signe792,Salley758,Waters156,null,Lubowitz58,M,white,nonhispanic,F,Framingham  Massachusetts  US,342 Feest Bridge,Taunton,Massachusetts,Bristol County,25005,2718,41.92616093697324,-71.06820016720498,243499.48,862721.48,24026,2023-12-31T15:33:00.000Z
33828cb4-a2f6-3a66-fe02-c990fa88af61,1974-12-06,null,999-45-8615,S99941595,X14417836X,Mrs.,Princess223,Bobbi508,Schmeler639,null,Romaguera67,M,white,nonhispanic,F,Wayland  Massachusetts  US,627 Howe Overpass,Dartmouth,Massachusetts,Bristol County,null,0,41.53862264573369,-70.95566876867451,248786.39,732131.46,127119,2023-12-31T15:33:00.000Z
00732e11-5e4d-37b7-01f8-929a25536862,1975-12-24,null,999-34-7979,S99924333,X43662835X,Mr.,Antonia30,Giovanni385,Schuster709,null,null,W,white,nonhispanic,M,Toulouse  Occitanie  FR,808 Wiza Fork Apt 53,Pittsfield,Massachusetts,Berkshire County,25003,1201,42.4143060231535,-73.23778524011395,235654.66,753044.17,30550,2023-12-31T15:33:00.000Z
45b89342-dc05-8e57-8eee-9ed68ec42378,1984-08-24,null,999-40-3433,S99985178,X27670495X,Mr.,Dwight645,Marlin805,Hilll811,null,null,M,white,nonhispanic,M,Framingham  Massachusetts  US,810 Wolf Pathway,Malden,Massachusetts,Middlesex County,25017,2148,42.43609707786766,-71.14327919610912,36010.63,472861.9,25909,2023-12-31T15:33:00.000Z
9e24368b-f85b-f38f-ae0b-db191e224335,1964-03-14,null,999-78-2115,S99976472,X57524913X,Mrs.,Khadijah960,Maryalice613,Veum823,null,Langosh790,M,white,nonhispanic,F,Lynn  Massachusetts  US,631 Bartoletti Estate,Beverly,Massachusetts,Essex County,25009,1915,42.57629662192952,-70.88806034174604,91358.12,614267.7,25887,2023-12-31T15:33:00.000Z
4804956b-3c8f-baa7-9a42-87518e486055,1991-08-13,null,999-63-1144,S99959101,X31272602X,Mrs.,Dahlia209,null,Ferry570,null,Wolf938,M,white,nonhispanic,F,Lowell  Massachusetts  US,946 Bashirian Frontage road,Billerica,Massachusetts,Middlesex County,null,0,42.52041002457152,-71.28396864537628,175538.3,681949.23,29192,2023-12-31T15:33:00.000Z
8935bc21-92f0-a4ad-d8b4-bcdd5b92204a,1979-02-22,null,999-23-2995,S99925657,X43083836X,Mr.,Herbert830,Osvaldo336,Klocko335,null,null,M,white,nonhispanic,M,Milford  Massachusetts  US,430 Bashirian Ramp Apt 22,Athol,Massachusetts,Worcester County,25027,1331,42.55851957263701,-72.22429313568736,150844.39,0,75521,2023-12-31T15:33:00.000Z
d8638449-e632-1ac7-6695-eb60c8773813,2013-08-18,null,999-39-1650,null,null,null,Ettie537,Vernetta697,Farrell962,null,null,null,white,nonhispanic,F,Concord  Massachusetts  US,1057 Carter Route Apt 38,Needham,Massachusetts,Norfolk County,25021,2492,42.30741962954753,-71.22299246842655,14195.99,7958.3,80475,2023-12-31T15:33:00.000Z
f20c093a-ec77-3358-b0a5-3c298f82ea1f,1987-02-20,null,999-63-3716,S99935684,X84060430X,Ms.,Elsa29,Rosalia943,Chapa957,null,null,S,white,hispanic,F,San Salvador  El Salvador  SV,150 Wyman Brook,Canton,Massachusetts,Norfolk County,null,0,42.163002628071865,-71.095545028198,209212.74,560210.84,135334,2023-12-31T15:33:00.000Z
0689b59f-0721-5384-9294-def3c13db427,1995-09-07,null,999-99-1204,S99957259,X3793997X,Mr.,Tomás404,Javier97,Benavides239,null,null,M,white,hispanic,M,Santiago de los Caballeros  Santiago  DO,154 Torp Lock,Chicopee,Massachusetts,Hampden County,25013,1020,42.16433418287259,-72.5667618555095,68232.69,0,82840,2023-12-31T15:33:00.000Z
2ce5c76d-8d65-1347-33c5-7d0cbf3f1b2b,2014-12-28,null,999-56-9262,null,null,null,Kimbery217,Krissy321,Schuppe920,null,null,null,white,nonhispanic,F,Somerville  Massachusetts  US,1039 Lockman Bay,Dracut,Massachusetts,Middlesex County,null,0,42.719125242896894,-71.29878499927098,31061.17,640.19,68873,2023-12-31T15:33:00.000Z
d5635f98-2461-70a1-5916-f854efa27fc0,1914-03-03,null,999-67-4493,S99957069,X10952633X,Mrs.,Jolyn4,Kattie846,Ortiz186,null,Kshlerin58,M,white,nonhispanic,F,Milford  Massachusetts  US,174 O'Keefe Way Unit 17,Blackstone,Massachusetts,Worcester County,null,0,42.067816693370965,-71.56382698839069,934784.64,432468.96,97499,2023-12-31T15:33:00.000Z
f07fac6b-0a84-7874-f0d2-e1a1e1cffa09,1955-05-23,null,999-94-2622,S99993326,X11620374X,Mr.,Nathanael908,Eduardo902,Wisozk929,null,null,M,white,nonhispanic,M,Orange  Massachusetts  US,823 Hintz Trail,Whitinsville,Massachusetts,Worcester County,25027,1588,42.103089584096864,-71.63416759310832,217144.14,190127.82,83045,2023-12-31T15:33:00.000Z
